churn,age,gender,marital_status,education_level,dependent_count,occupation_type,annual_income,income_band,income_category,city_tier,region,customer_segment,tenure_months,onboarding_channel,relationship_type,number_of_products,primary_account_type,card_category,customer_lifetime_value,loyalty_program_member,referral_count,last_contacted_days,relationship_manager_assigned,avg_monthly_balance,current_balance,balance_decline_percentage,monthly_transaction_count,monthly_transaction_value,cash_withdrawal_count,upi_transaction_count,debit_card_transaction_count,net_banking_transaction_count,account_inactive_days,total_trans_amt,total_trans_count,total_amt_chng_q4_q1,total_ct_chng_q4_q1,avg_open_to_buy,total_revolving_bal,savings_account_flag,current_account_flag,credit_card_flag,personal_loan_flag,home_loan_flag,auto_loan_flag,fixed_deposit_flag,investment_product_flag,insurance_product_flag,demat_account_flag,credit_card_limit,credit_card_spend,credit_utilization_ratio,minimum_due_paid_flag,late_credit_card_payment_count,loan_outstanding_amount,emi_amount,emi_payment_delay_count,loan_default_risk_score,prepayment_flag,mobile_app_login_count,website_login_count,digital_transaction_ratio,last_login_days,failed_login_count,app_rating_given,paperless_statement_enabled,digital_service_usage_score,mobile_banking_active_flag,email_open_rate,total_complaints,complaint_resolution_time,unresolved_complaint_count,branch_visit_count,call_center_interaction_count,relationship_manager_interaction_count,service_request_count,escalation_count,satisfaction_score,nps_score,campaign_received_count,campaign_response_count,cross_sell_offer_count,upsell_offer_count,retention_offer_received,retention_offer_accepted,last_campaign_response_days,discount_or_fee_waiver_received,competitor_bank_offer_awareness,customer_feedback_sentiment,monthly_income_estimate,credit_utilization_3m_avg,credit_utilization_6m_avg,avg_quarterly_balance,total_digital_logins,debt_to_income_ratio,digital_engagement_index
0,48,0,1,6,2,3,31991,2,4,0,4,2,37,2,0,4,0,0,9675.64,1,2,17,0,10839.0,14616.0,-6.84,6,380.75,5,14,7,7,123,4569,81,0.571,0.884,975.0,1860,0,0,1,0,0,1,1,0,0,0,2835,2672.0,0.656,1,1,89969.0,2470.0,0,25.5,1,24,13,0.848,22,0,3.8,1,63.5,1,0.511,0,0,0,2,2,0,1,0,5.0,2,9,0,3,0,0,0,22,0,2,2,2857,0.5,0.544,31725.0,37,0.9265,55.9
1,47,0,1,6,4,3,36271,2,4,1,4,2,36,0,3,3,2,0,3620.35,0,0,31,0,1811.0,1304.0,4.25,3,214.33,3,9,9,6,114,2572,43,0.904,0.72,1805.0,228,1,0,1,0,0,0,0,0,1,1,2033,1059.0,0.112,0,4,0.0,0.0,0,10.5,0,11,4,0.889,8,1,,0,48.4,1,0.376,3,2,0,2,3,0,1,0,3.3,-6,4,0,0,2,1,0,31,0,1,0,3473,0.068,0.235,5545.0,15,0.0,37.4
0,57,0,2,6,1,3,25970,1,4,2,0,2,44,2,2,4,3,0,11115.89,0,1,41,0,29315.0,32129.0,7.89,3,222.75,4,11,17,14,91,2673,43,1.156,0.87,1306.0,1258,0,1,1,0,0,0,0,0,1,0,2564,1406.0,0.491,1,0,0.0,0.0,0,24.9,0,9,11,0.913,15,3,4.5,0,48.2,1,0.191,0,0,0,1,2,0,1,0,4.9,54,6,0,1,2,1,0,48,0,3,1,2085,0.455,0.512,90179.0,20,0.0,41.2
0,53,1,2,6,0,3,76442,3,2,2,3,1,42,3,2,1,0,0,21168.05,1,2,9,1,17822.0,17577.0,0.62,6,335.92,4,16,7,8,88,4031,82,0.625,0.745,12241.0,1168,1,0,1,0,1,0,0,1,1,1,13409,2337.0,0.087,1,0,45771.0,1813.0,1,36.0,0,23,7,0.886,15,2,,1,69.9,1,0.525,3,9,0,1,0,5,0,0,2.1,52,5,0,1,1,0,0,82,0,1,2,7552,0.064,0.116,55273.0,30,0.2846,61.2
0,42,1,0,3,1,2,83227,4,3,0,4,1,38,4,2,4,0,0,13946.76,1,1,20,1,21660.0,16494.0,-13.56,6,405.17,10,11,6,2,62,4862,77,0.614,0.878,10774.0,1172,0,0,1,0,0,1,1,1,1,0,11946,3686.0,0.098,1,0,47783.0,1952.0,0,32.4,0,22,10,0.655,1,0,,1,57.7,1,0.262,1,2,0,2,1,7,0,0,2.8,5,3,0,2,1,1,1,25,0,1,2,5760,0.077,0.251,66362.0,32,0.2814,49.7
0,41,1,3,0,2,4,88298,4,3,1,1,1,24,0,1,3,3,0,9034.13,0,0,101,1,23083.0,27602.0,-0.95,6,339.75,6,12,14,8,67,4077,77,0.754,0.791,14320.0,0,0,1,1,0,0,0,1,1,1,1,14320,2452.0,0.0,1,2,0.0,0.0,0,35.1,0,30,14,0.85,32,1,5.0,1,70.7,1,0.493,2,10,0,0,4,4,1,0,5.0,58,8,1,1,2,0,0,45,0,2,1,6648,0.014,0.026,70923.0,44,0.0,67.4
0,53,1,1,2,1,0,111406,4,3,0,1,1,40,0,4,4,1,0,31892.44,0,0,7,1,4105.0,4392.0,7.82,5,382.5,5,13,9,5,96,4590,69,0.888,0.816,4186.0,0,1,1,1,0,0,1,0,1,0,0,4186,2665.0,0.0,1,5,78960.0,3167.0,0,8.2,0,13,6,0.844,13,0,2.7,1,58.7,1,0.152,0,0,0,4,3,4,1,0,3.8,27,5,0,3,1,0,0,29,0,2,1,11477,0.046,0.033,12211.0,19,0.3411,53.3
0,47,0,1,5,3,3,29979,1,4,0,3,0,36,3,2,5,2,0,4737.29,1,1,26,1,22473.0,21004.0,-7.53,7,370.25,7,14,12,7,33,4443,86,0.647,0.83,1438.3,0,1,0,1,0,1,0,0,0,0,0,1438,1510.0,0.0,1,0,26241.0,753.0,0,43.4,0,21,9,0.825,38,2,3.7,1,57.6,1,0.512,2,1,0,5,1,6,0,0,4.0,20,3,0,1,0,0,0,23,0,3,2,2587,0.0,0.061,66582.0,30,0.3014,63.3
0,46,1,1,2,3,5,65513,3,2,1,1,1,29,2,3,3,3,0,14830.86,0,0,76,1,5104.0,5680.0,-7.75,7,382.58,7,14,13,16,67,4591,85,0.637,0.771,3429.0,0,1,1,1,0,1,1,0,1,0,0,3429,2516.0,0.0,1,1,27879.0,1286.0,0,25.0,0,25,15,0.86,15,0,,1,62.6,1,0.259,0,0,0,5,2,7,3,0,5.0,38,6,0,0,1,0,0,14,0,3,2,4754,0.02,0.111,15305.0,40,0.2356,61.3
0,35,0,2,5,4,3,22324,1,4,2,0,0,24,4,2,4,0,0,2791.32,1,2,13,0,15782.0,20378.0,-9.81,7,205.33,5,18,13,4,60,2464,92,0.704,1.0,1904.0,1367,0,0,1,0,0,0,1,1,1,0,3271,1725.0,0.418,1,1,0.0,0.0,0,26.7,0,22,13,0.875,16,1,,0,53.2,1,0.365,1,2,0,4,2,0,3,0,3.3,58,6,1,2,0,0,0,31,0,3,2,1670,0.365,0.258,45130.0,35,0.0,42.6
0,44,1,2,1,3,3,191215,0,0,2,3,1,35,2,3,4,0,0,60169.4,1,3,21,1,23162.0,24007.0,11.47,6,306.92,4,15,12,3,36,3683,73,0.57,0.738,12593.0,1435,1,1,1,1,1,0,0,1,0,1,14028,2199.0,0.102,1,0,20354.0,482.0,0,52.9,0,18,12,0.882,43,0,,1,59.1,1,0.584,1,6,0,3,5,7,1,0,2.6,44,3,0,4,0,0,0,46,0,3,1,20176,0.164,0.106,69157.0,30,0.0302,60.6
0,49,1,3,6,4,3,97112,4,3,2,3,0,29,2,2,2,3,0,20227.27,1,1,83,0,16255.0,14751.0,-4.23,7,636.67,6,16,9,7,69,7640,86,0.769,0.564,27173.0,2517,1,1,1,1,1,0,0,0,1,0,29690,5252.0,0.085,1,2,67658.0,1517.0,1,59.6,1,24,12,0.842,18,3,,1,63.3,1,0.657,1,1,0,2,2,0,1,0,5.0,43,6,1,7,2,0,0,31,1,2,2,8339,0.055,0.165,48568.0,36,0.1875,56.2
0,61,1,2,4,0,0,54665,3,1,0,3,2,42,3,1,4,3,3,22510.23,1,1,63,0,7237.0,5075.0,8.19,5,331.83,8,16,6,5,107,3982,68,0.791,0.943,15939.0,0,1,0,1,0,0,0,1,0,1,1,15939,3145.0,0.0,1,3,0.0,0.0,0,27.4,0,16,11,0.771,13,2,,0,46.4,1,0.773,3,3,0,2,2,0,2,0,4.0,16,8,0,1,0,1,0,16,0,1,2,5168,0.052,0.053,22485.0,27,0.0,37.9
0,63,1,1,3,2,0,48911,2,1,0,1,2,36,1,4,2,2,0,11333.37,1,1,43,0,10719.0,10210.0,4.65,2,87.5,8,16,9,7,64,1050,28,0.885,1.154,4077.0,930,1,1,1,1,0,0,0,0,0,0,5007,613.0,0.186,1,0,196063.0,8399.0,0,15.6,0,13,13,0.8,27,1,5.0,0,48.8,1,0.571,1,2,0,3,2,0,2,0,3.9,3,3,0,5,2,0,0,94,0,2,2,3948,0.159,0.2,31569.0,26,2.0606,34.8
0,67,0,1,6,0,3,54611,3,5,0,1,0,56,4,0,4,3,0,13734.92,1,2,42,1,5817.0,5530.0,-0.13,2,113.75,9,12,15,6,92,1365,34,0.777,1.429,8121.0,2388,0,0,1,0,0,0,0,0,0,1,10509,595.0,0.227,1,1,0.0,0.0,0,38.0,0,26,10,0.786,55,2,,1,66.7,1,0.341,3,1,0,2,3,3,2,0,3.6,25,3,1,3,0,0,0,38,0,2,2,4374,0.266,0.161,16858.0,36,0.0,62.6
0,45,1,1,2,3,3,51480,3,1,2,4,2,35,4,0,5,3,0,12332.23,0,3,23,1,16887.0,21597.0,-11.25,2,109.42,9,13,8,9,121,1313,30,0.597,0.304,2254.0,1200,1,0,1,1,0,0,1,0,0,0,3454,1024.0,0.347,1,1,59042.0,2524.0,0,37.4,0,14,9,0.769,10,0,2.9,0,45.0,1,0.796,0,0,0,3,2,3,1,0,3.8,38,2,0,3,2,0,0,28,0,2,2,4473,0.34,0.417,52764.0,23,0.5883,38.7
0,46,0,0,2,3,5,18000,1,4,0,3,0,36,2,2,3,3,0,6205.61,0,2,29,1,6013.0,6304.0,-13.52,8,637.42,7,12,11,2,73,7649,101,0.662,0.603,766.0,1625,1,0,1,0,0,0,1,1,0,0,2391,2511.0,0.68,0,0,0.0,0.0,0,26.7,0,27,7,0.781,12,1,,1,61.7,1,0.471,0,0,0,4,2,2,1,0,4.9,11,2,0,2,0,0,0,10,0,0,1,1153,0.697,0.508,17428.0,34,0.0,59.1
0,46,1,1,2,2,3,67416,3,2,0,3,2,36,2,1,4,3,0,12630.99,1,0,53,0,6050.0,5457.0,-14.62,7,360.58,5,14,11,12,85,4327,84,0.421,0.68,1254.0,685,0,0,1,0,0,0,0,0,0,1,1939,1996.0,0.353,1,1,0.0,0.0,0,7.2,0,20,10,0.881,14,0,,1,62.0,1,0.356,1,2,0,1,2,0,2,0,5.0,51,6,0,0,2,0,0,32,0,3,0,5200,0.354,0.448,18478.0,30,0.0,60.4
0,28,1,0,5,0,3,80427,4,5,1,1,1,36,3,4,3,3,0,15007.39,1,0,28,1,40113.0,35316.0,13.7,6,257.75,8,17,8,6,103,3093,77,1.042,0.878,15231.0,1535,1,1,1,0,1,1,1,0,1,0,16766,2094.0,0.092,1,1,62246.0,2627.0,0,36.7,0,13,10,0.795,8,1,5.0,1,56.7,1,0.661,1,11,0,5,3,2,0,0,3.9,42,3,0,2,2,0,0,7,1,1,2,7688,0.1,0.132,127276.0,23,0.392,51.0
0,51,1,1,2,3,3,101476,4,3,2,3,1,36,2,4,4,2,0,29408.0,1,0,77,1,3585.0,4455.0,-8.17,1,157.25,5,18,7,7,30,1887,20,2.594,2.333,3418.0,0,1,1,1,0,1,0,0,1,0,0,3418,1051.0,0.0,1,1,313659.0,6902.0,0,1.0,0,20,10,0.865,15,1,,1,63.8,1,0.27,1,3,0,3,0,6,1,0,3.1,-45,6,0,3,0,0,0,31,0,0,2,9245,0.0,0.065,10109.0,30,0.8162,62.1
0,35,1,1,3,4,2,46535,2,1,2,3,1,27,0,4,6,0,0,8375.07,1,0,7,1,4674.0,4914.0,5.7,3,151.17,6,18,10,4,82,1814,43,1.045,0.593,4007.0,1318,1,0,1,1,0,0,0,1,0,0,5325,1074.0,0.248,1,1,23949.0,1031.0,0,1.0,1,16,7,0.842,30,1,,1,59.3,1,0.35,2,1,0,4,3,3,1,0,4.5,43,3,0,2,3,0,0,41,1,1,2,3491,0.366,0.244,14338.0,23,0.2659,58.4
0,43,0,1,6,3,5,39391,2,4,2,2,0,27,4,4,1,3,0,7542.24,0,3,4,1,13432.0,17967.0,-4.97,10,1209.25,7,17,12,4,77,14511,123,0.774,0.708,2499.0,1042,1,0,1,0,1,0,0,0,1,0,3541,3718.0,0.294,1,1,30993.0,1299.0,0,37.6,0,18,12,0.825,16,1,,0,51.2,1,0.095,1,3,0,2,2,8,2,0,3.0,27,5,0,1,0,1,0,154,1,2,2,3956,0.275,0.305,40525.0,30,0.3957,39.8
0,41,1,1,2,4,3,70632,3,2,1,2,1,26,3,2,5,3,0,7752.7,1,1,1,1,18537.0,24401.0,-5.77,6,307.92,5,6,10,5,79,3695,75,0.542,0.63,4238.0,1395,1,1,1,1,0,0,0,1,1,1,5633,2470.0,0.248,1,0,144302.0,4455.0,0,52.0,1,18,6,0.808,9,1,3.3,0,48.4,1,0.485,1,2,0,1,2,4,3,0,3.2,96,0,0,3,0,0,0,6,0,3,1,5993,0.247,0.286,54210.0,24,0.7569,41.1
0,40,1,0,2,3,3,54972,3,0,1,1,2,30,3,1,3,3,0,9923.14,1,1,52,0,10483.0,12977.0,13.97,6,311.17,6,13,9,8,68,3734,80,0.643,0.86,34516.0,0,1,0,1,1,0,1,0,0,0,0,34516,1910.0,0.0,1,2,59865.0,1724.0,1,47.6,1,18,12,0.833,7,0,,1,60.5,1,0.472,2,1,0,3,1,0,1,0,4.4,72,6,1,2,0,0,0,22,0,3,1,2205,0.0,0.163,30597.0,30,0.3763,55.8
1,59,1,3,5,0,2,76152,3,2,1,3,0,48,2,0,2,1,0,10361.04,0,0,2,0,4740.0,4784.0,21.82,3,216.5,5,17,5,2,199,2598,47,0.876,0.621,13172.0,0,1,0,1,0,1,0,0,0,1,0,13172,1543.0,0.0,0,5,78013.0,2754.0,2,34.6,0,12,5,0.828,11,2,2.0,0,44.3,1,0.131,0,0,0,1,2,0,3,0,3.3,92,5,0,0,1,1,0,365,0,0,1,7470,0.0,0.0,14211.0,17,0.434,40.1
0,43,0,1,6,3,3,26647,1,4,1,2,0,30,2,1,5,3,0,4891.48,1,4,19,1,20453.0,15996.0,-9.96,5,330.83,8,9,12,5,75,3970,68,0.609,0.619,963.0,1452,1,0,1,1,0,0,0,0,0,1,2415,2422.0,0.601,1,4,34194.0,1371.0,0,14.3,0,22,13,0.765,5,1,4.5,1,62.1,1,0.269,1,6,0,4,2,8,2,0,3.0,15,2,0,0,1,0,0,56,1,3,2,2167,0.615,0.526,63681.0,35,0.6174,59.0
0,34,1,2,2,1,3,40716,2,4,0,3,2,28,3,4,1,2,0,7852.56,1,1,17,0,28575.0,29462.0,-0.94,6,359.5,11,12,8,8,195,4314,74,0.63,0.609,1020.0,1649,0,0,1,0,0,1,1,0,0,1,2669,2651.0,0.618,1,2,46874.0,2183.0,1,37.3,0,21,16,0.718,19,0,4.0,1,55.9,1,0.611,1,3,0,3,3,0,2,0,3.7,0,6,1,2,0,0,0,109,0,3,2,4170,0.66,0.486,88054.0,37,0.6434,52.0
1,35,0,2,2,1,3,18000,1,4,0,0,2,30,0,4,2,0,0,2564.96,0,0,199,0,3980.0,3455.0,22.03,4,212.42,3,15,5,7,61,2549,54,0.683,0.588,1649.0,0,0,0,1,0,0,0,0,0,1,0,1649,1731.0,0.0,1,2,0.0,0.0,0,16.5,0,21,7,0.9,43,2,,1,65.0,1,0.135,4,1,0,4,2,0,4,1,2.2,-56,10,0,3,0,0,0,133,1,1,1,1082,0.085,0.027,11301.0,28,0.0,63.8
0,41,0,1,2,4,3,50957,3,1,0,2,2,33,3,1,6,0,0,9495.55,0,0,39,0,11335.0,9575.0,6.15,6,314.08,7,10,12,8,105,3769,77,0.607,0.54,5057.0,1173,1,1,1,1,0,0,1,1,0,0,6230,2639.0,0.188,1,1,32789.0,1518.0,0,39.8,0,16,13,0.811,20,2,,0,49.3,1,0.494,1,1,0,4,2,0,2,0,5.0,21,4,0,2,1,0,0,5,0,1,2,4364,0.215,0.188,36799.0,29,0.3575,39.7
0,58,0,1,6,1,3,50775,3,1,1,3,0,48,2,3,3,0,0,15274.4,0,3,7,0,3811.0,2716.0,-10.29,3,100.67,5,16,11,8,118,1208,38,0.405,0.357,10513.0,1910,1,1,1,0,0,0,1,0,0,0,12423,650.0,0.154,1,0,0.0,0.0,0,18.9,0,22,11,0.875,8,2,,1,62.3,1,0.681,1,6,0,1,2,0,0,0,4.8,90,2,0,1,1,0,0,64,0,2,1,4326,0.064,0.309,11039.0,33,0.0,63.3
0,48,1,1,2,2,0,174730,0,0,1,3,1,37,0,4,3,2,0,31940.5,0,2,43,1,7384.0,7197.0,-1.55,6,401.17,6,16,6,5,30,4814,73,0.864,1.212,7677.0,1279,1,1,1,0,1,0,0,0,0,1,8956,3377.0,0.143,1,0,61302.0,1542.0,0,1.0,0,29,8,0.818,11,0,5.0,1,66.9,1,0.591,0,0,0,2,2,4,1,0,4.4,44,4,0,3,0,0,0,118,0,1,2,17054,0.084,0.216,21193.0,37,0.1059,62.7
0,37,0,1,2,3,2,61114,3,5,2,1,0,24,0,0,3,0,0,10923.79,1,2,17,1,18037.0,15980.0,-9.02,2,130.58,3,16,9,9,74,1567,33,0.692,0.32,9034.0,1550,0,0,1,1,0,0,1,0,0,1,10584,1253.0,0.146,1,3,17294.0,586.0,0,20.3,0,20,13,0.919,40,2,,1,62.7,1,0.634,1,7,0,4,2,6,0,0,5.0,9,6,1,4,2,0,0,26,1,1,0,5134,0.136,0.131,54915.0,33,0.1151,62.5
0,57,0,2,5,3,4,93292,4,5,2,2,1,48,2,3,1,3,0,38093.54,0,0,21,1,26430.0,32281.0,-8.99,6,421.92,6,11,10,8,45,5063,83,0.665,0.93,5683.0,1493,1,1,1,0,0,0,0,1,0,0,7176,2905.0,0.208,1,3,0.0,0.0,0,27.0,0,10,5,0.829,8,0,2.6,1,57.6,1,0.379,0,0,0,0,2,9,2,0,3.9,27,7,1,4,0,0,0,6,1,3,1,9638,0.188,0.166,80680.0,15,0.0,49.9
0,41,0,2,0,3,3,55204,3,1,0,2,0,22,0,4,5,3,0,6257.36,1,1,11,1,8985.0,11341.0,-4.91,6,394.5,5,15,8,5,15,4734,75,0.697,0.596,995.0,1582,1,0,1,0,0,1,0,0,1,0,2577,2273.0,0.614,1,0,52607.0,1511.0,0,32.0,0,17,9,0.848,4,2,,1,60.2,1,0.459,1,2,0,3,2,9,3,0,3.5,79,3,1,2,1,1,0,5,0,3,1,5290,0.617,0.526,28250.0,26,0.3285,56.4
0,45,0,1,3,2,3,46484,2,1,1,0,0,36,4,3,4,0,0,15193.4,1,0,8,1,13461.0,14437.0,-8.19,3,139.58,7,15,18,4,55,1675,47,0.678,0.469,4523.0,1884,1,1,1,1,1,0,0,0,0,0,6407,934.0,0.294,0,0,89010.0,3378.0,0,48.7,0,17,16,0.841,14,0,,1,58.9,1,0.876,4,1,0,3,3,2,0,0,4.2,-11,4,1,1,0,0,0,46,0,2,1,3481,0.272,0.344,39462.0,33,0.872,52.1
0,65,1,1,2,1,5,27842,1,4,0,2,2,50,4,3,6,2,0,12203.89,1,4,33,0,5568.0,5508.0,-14.34,3,149.42,6,11,11,12,87,1793,38,0.744,0.652,2933.0,1574,1,0,1,1,0,0,0,1,1,0,4507,1367.0,0.349,1,1,115569.0,3763.0,0,47.9,0,14,6,0.85,17,1,,0,50.6,1,0.38,2,3,0,3,4,0,4,0,5.0,-10,4,0,3,2,1,1,8,0,2,2,2314,0.389,0.393,16849.0,20,1.6219,39.2
0,34,1,1,2,2,0,68394,3,2,2,2,2,36,0,1,5,0,0,18619.22,0,0,3,0,112419.0,129393.0,13.33,5,344.67,4,18,8,13,53,4136,69,0.598,0.568,850.0,1913,0,1,1,0,0,0,0,0,1,1,2763,1916.0,0.692,1,2,0.0,0.0,0,39.0,0,12,11,0.907,19,1,5.0,1,60.5,1,0.772,1,1,0,7,3,0,1,0,2.7,16,3,0,1,1,0,0,44,1,3,2,5436,0.56,0.509,328438.0,23,0.0,58.1
0,40,0,2,0,3,4,31929,2,4,2,2,0,33,2,4,5,0,0,5062.19,1,0,3,0,10929.0,10335.0,-4.48,5,318.75,5,17,17,8,95,3825,70,0.828,0.707,5205.0,2002,1,1,1,1,0,0,1,0,0,1,7207,1786.0,0.278,1,0,148599.0,5222.0,1,27.0,0,14,8,0.894,11,1,,1,58.7,1,0.695,0,0,0,2,1,0,1,0,2.3,22,5,0,0,1,1,1,46,0,1,2,2849,0.196,0.237,34790.0,22,1.9626,52.2
0,43,1,2,2,2,4,98812,4,3,1,4,0,36,0,4,2,0,0,17932.94,0,2,150,0,13683.0,18091.0,-9.85,9,1128.75,4,14,9,9,69,13545,112,0.704,0.672,32814.0,1613,1,0,1,0,0,0,1,0,0,0,34427,8762.0,0.047,1,2,0.0,0.0,0,34.7,0,28,10,0.889,21,3,3.5,0,59.1,1,0.592,2,1,0,5,1,0,1,0,4.8,84,2,0,0,1,0,0,13,1,3,2,8686,0.013,0.02,39678.0,38,0.0,45.5
1,43,1,2,4,2,0,82007,4,2,0,4,0,36,0,2,2,0,0,5908.63,0,0,68,1,6961.0,5283.0,0.26,5,517.08,5,12,9,1,110,6205,65,0.4,0.806,17306.0,0,1,0,1,0,0,0,0,0,1,0,17306,4074.0,0.0,0,2,0.0,0.0,0,27.9,0,15,3,0.815,57,1,3.2,1,58.9,1,0.187,0,0,0,3,3,1,4,0,2.6,-8,4,0,1,1,1,0,23,0,2,1,9197,0.0,0.064,21152.0,18,0.0,52.7
0,53,0,2,2,2,5,21922,1,4,2,3,2,38,0,2,4,3,0,7139.3,1,1,4,0,15562.0,12176.0,-0.82,6,416.67,5,7,11,3,65,5000,76,0.804,0.617,1022.0,1353,1,0,1,0,1,0,1,1,1,0,2375,2494.0,0.57,1,0,27605.0,764.0,1,13.5,1,22,12,0.808,10,0,,1,58.9,1,0.415,0,0,0,1,3,0,2,0,3.8,49,3,0,1,0,0,0,18,0,1,2,1627,0.568,0.585,47569.0,34,0.4182,56.2
0,58,1,1,2,0,3,103225,4,3,2,2,1,49,0,4,6,2,0,33234.01,1,1,4,1,11212.0,12188.0,8.6,2,107.58,5,19,10,11,68,1291,24,0.519,0.714,10859.0,1696,1,1,1,0,1,1,1,1,1,0,12555,801.0,0.135,1,2,78746.0,2446.0,0,45.1,0,17,12,0.889,7,2,,1,63.9,1,0.431,2,3,0,2,2,3,1,0,3.5,15,4,1,0,0,0,0,28,0,1,2,9621,0.119,0.133,34911.0,29,0.2843,58.1
0,44,0,0,2,2,3,27871,1,4,1,1,1,25,2,2,2,2,3,4505.07,1,0,33,1,12693.0,16946.0,-9.8,6,323.42,3,20,13,12,80,3881,77,0.546,0.791,13138.0,0,1,1,1,1,0,0,0,1,0,1,13138,2580.0,0.0,1,2,68304.0,1909.0,1,35.9,1,21,15,0.938,15,0,,1,64.8,1,0.647,4,5,0,4,2,6,0,0,4.2,65,6,0,1,1,1,1,86,0,0,2,2317,0.028,0.057,39172.0,36,0.8219,57.9
0,48,1,2,5,2,3,58028,3,1,2,4,0,40,1,1,2,2,3,21835.6,1,1,170,1,16684.0,15606.0,7.96,8,698.25,5,14,10,7,119,8379,106,0.75,0.606,17812.0,0,1,1,1,0,0,0,0,0,1,1,17812,6300.0,0.0,1,2,0.0,0.0,0,40.6,0,15,13,0.861,30,1,3.6,1,62.3,1,0.258,3,6,0,2,2,9,3,0,4.1,31,1,0,3,1,0,0,74,0,1,2,5954,0.0,0.186,49829.0,28,0.0,54.5
0,56,0,1,6,2,1,28218,1,4,2,3,2,36,2,3,5,3,0,6598.17,1,3,5,1,17280.0,18323.0,-2.81,6,347.5,10,7,5,10,105,4170,73,0.624,0.553,1055.0,974,1,1,1,1,0,0,0,1,0,1,2029,2130.0,0.48,0,0,150194.0,6550.0,0,14.2,0,14,3,0.688,40,1,,0,41.8,1,0.242,1,3,0,2,3,5,1,0,2.8,38,2,0,2,2,0,0,4,0,1,1,2361,0.387,0.42,50500.0,17,2.7855,35.3
0,50,1,1,2,1,5,71460,3,2,2,3,0,37,3,0,1,3,3,16542.24,0,2,22,0,15277.0,13091.0,12.67,9,1125.25,3,11,8,2,56,13503,112,0.743,0.623,5447.0,777,1,1,1,0,0,1,0,0,1,0,6224,6535.0,0.125,1,0,33543.0,947.0,0,37.1,0,10,4,0.875,17,2,,1,55.5,1,0.337,1,1,0,1,1,0,2,0,4.9,18,5,0,2,0,0,0,151,0,1,2,6206,0.128,0.142,46252.0,14,0.159,55.2
1,35,0,1,1,0,3,24819,1,4,0,2,2,27,3,0,2,3,0,1067.23,0,2,53,0,4759.0,6614.0,7.01,6,642.67,5,13,6,6,103,7712,73,0.848,0.825,3876.0,0,1,0,1,0,0,0,1,1,0,0,3876,4070.0,0.0,0,2,0.0,0.0,0,60.0,0,12,5,0.833,20,1,,1,59.1,1,0.409,2,5,1,1,2,0,3,0,1.3,-5,5,0,2,1,1,0,46,0,2,1,1950,0.0,0.139,14464.0,17,0.0,52.3
0,50,1,1,5,0,2,69610,3,2,1,3,0,36,0,4,4,2,0,17362.27,1,2,5,0,15745.0,19574.0,-6.88,2,115.5,4,11,16,8,102,1386,30,0.561,0.5,1627.0,707,1,1,1,0,0,0,0,1,0,0,2334,731.0,0.303,1,0,0.0,0.0,0,71.0,0,16,8,0.897,27,2,,0,56.4,1,0.466,2,8,0,6,3,0,0,0,4.4,2,3,0,1,0,0,0,16,0,0,2,5736,0.281,0.309,49383.0,24,0.0,40.8
0,51,0,2,3,1,3,28636,1,4,0,2,2,45,0,2,3,0,0,5406.92,1,3,52,0,25086.0,31413.0,1.85,5,318.17,10,14,7,9,112,3818,61,0.501,0.605,869.0,2049,0,0,1,0,0,1,0,0,1,0,2918,2400.0,0.702,1,1,41873.0,1769.0,0,39.4,0,19,13,0.75,29,2,,1,56.3,1,0.685,4,3,0,3,3,0,5,0,3.6,-13,4,0,1,0,0,0,16,0,2,2,2414,0.62,0.601,76216.0,32,0.7413,50.1
1,44,0,2,2,5,3,40876,2,4,2,2,1,37,0,1,1,3,0,4808.0,0,0,10,1,5390.0,5843.0,17.45,3,164.17,3,16,4,8,77,1970,46,0.551,0.484,1491.0,0,1,1,1,0,0,0,0,0,0,0,1491,1138.0,0.0,0,2,0.0,0.0,0,35.9,0,18,10,0.903,38,0,4.7,1,61.5,1,0.342,2,6,0,1,4,3,3,0,4.4,-2,3,0,3,0,0,0,146,1,2,2,4196,0.033,0.194,16489.0,28,0.0,56.6
0,58,0,0,5,2,1,26998,1,4,1,3,2,46,0,3,6,3,3,9201.16,1,0,3,0,16352.0,17838.0,-12.84,5,408.33,8,20,11,6,52,4900,61,0.622,0.743,11031.0,653,1,0,1,0,0,1,0,0,1,1,11684,2924.0,0.056,1,2,70492.0,3351.0,0,46.3,0,14,7,0.822,39,1,3.3,0,48.2,1,0.655,1,9,0,4,4,0,0,0,3.1,65,4,0,5,1,0,0,34,0,0,2,2209,0.053,0.255,52964.0,21,1.4894,29.8
0,37,1,2,6,2,3,52565,3,1,1,1,1,28,0,3,4,3,0,12453.49,1,2,61,1,5345.0,3764.0,8.7,7,233.75,6,14,7,6,141,2805,85,1.059,0.667,2394.0,0,1,1,1,0,0,0,0,0,0,0,2394,1566.0,0.0,1,0,0.0,0.0,0,3.9,0,18,8,0.818,15,1,,0,46.7,1,0.158,1,2,0,2,3,4,2,0,3.5,86,6,1,3,1,0,0,5,0,1,1,4704,0.0,0.125,15921.0,26,0.0,38.0
